SampleID	Species	Group	CSS	Mass	Narea	Carea	Nperc	Cperc
Artcal1	Artcal	1	1	9.125	338	3735	0.11	1.65
Mallau1	Mallau	1	0	9.202	541	5603	0.17	2.45
Salapi1	Salapi	1	1	9.062	544	3835	0.17	1.7
Samnig1	Samnig	1	0	9.1	321	2150	0.1	0.94
Artcal2	Artcal	2	1	9.9	1922	18962	0.55	7.67
Mallau2	Mallau	2	0	9.431	909	10236	0.28	4.34
Salapi2	Salapi	2	1	9.932	566	4370	0.16	1.77
Samnig2	Samnig	2	0	9.733	529	4558	0.16	1.89
Artcal3	Artcal	3	1	9.671	533	5450	0.16	2.27
Mallau3	Mallau	3	0	9.795	4398	51189	1.27	20.9
Salapi3	Salapi	3	1	9.824	184	2210	0.05	0.9
Samnig3	Samnig	3	0	9.861	2418	22905	0.7	9.27
Artcal4	Artcal	4	1	9.728	277	2018	0.08	0.83
Mallau4	Mallau	4	0	9.505	724	6788	0.22	2.87
Salapi4	Salapi	4	1	9.444	1553	16009	0.46	6.79
Samnig4	Samnig	4	0	9.804	714	5838	0.21	2.4
Artcal5	Artcal	5	1	9.249	270	2898	0.09	1.26
Mallau5	Mallau	5	0	9.516	526	5021	0.16	2.12
Salapi5	Salapi	5	1	10	425	4360	0.13	1.75
Samnig5	Samnig	5	0	9.001	507	3902	0.17	1.74
Artcal6	Artcal	6	1	9.255	508	7802	0.16	3.38
Mallau6	Mallau	6	0	9.749	101	1447	0.03	0.58
Salapi6	Salapi	6	1	9.734	519	5813	0.16	2.4
Samnig6	Samnig	6	0	9.928	629	6262	0.19	2.53
Artcal7	Artcal	7	1	9.518	356	2952	0.11	1.24
Mallau7	Mallau	7	0	9.79	480	5446	0.14	2.23
Salapi7	Salapi	7	1	9.342	0	0	0	0
Samnig7	Samnig	7	0	9.457	880	8827	0.27	3.73
