IDtopic	ObsID	Taxon	Country	Mention	Topic	IDportrayal	Portrayal	Sentiment
24423	9320	pangolin	United States	Local police arrested a 35-year-old man, believed to be the factory manager, who had led officers to the site, wildlife trade monitoring group TRAFFICsaid on Tuesday, citing a statement from Sabah police.|||A Malaysian Customs official holds PANGOLIN scales that were seized at the Kuala Lumpur airport in 2017 [Vincent Thian/AP Photo]|Trade in the world's eight species of pangolin is completely banned under the Convention on International Trade in Endangered Species.	Exploitation	32423	Vulnerable	-0.75
24422	12333	shark	United States	The man and three others report they were paddling outrigger canoes about a half-mile off shore when one of the boaters noticed the victim had stopped paddling. The victim said a SHARK first bit the hull of the canoe and knocked him into the water.	HWI	32422	Dangerous	-0.625
24421	7361	shark	United States	Seth Taylor called the proposal silly, noting it would be difficult for a large shark to swim up the inlet to the tidal salt pond.There have been increased great white SHARK sightings around Cape Cod in recent years.	HWI	32421	Neutral	0.586
24416	4150	saola	United Kingdom	They also focus on leading research, 'community-based forest management... and strengthening law enforcement'. Vu Quang Nature Reserve’s management, where the SAOLA was first discovered, has also improved over the last few years.	PAs	32416	Resilient	0.743
24410	7318	pangolin	United States	There are eight species of pangolin and all of them are now threatened to extinction due to poaching. According to ZSL, many conservationists believe PANGOLINS are the most illegally trafficked mammal in the world, with an estimated 300 pangolins being poached from the wild each day.	Exploitation	32410	Vulnerable	-0.459
24409	4138	saola	United Kingdom	With forests being eradicated to 'make way for agriculture, infrastructure and plantations', the 'saola are being squeezed into smaller spaces'. It is also feared to allow hunters easier access to the previously untouched forest of the SAOLA  making them even more vulnerable.	Exploitation	32409	Vulnerable	-0.176
24407	671	saola	United States	“So in this area, if you walk around the forest, every few minutes you’ll be bitten by a leech, which will try and suck your blood,” Long said. SAOLAS get bitten by leeches, too, so the idea is that if scientists collect enough of the tiny bloodsuckers and analyze the blood in their bellies, they might find clues to where saolas are hiding.	Wildlife info	32407	Neutral	-0.625
24404	12399	elephant	United Kingdom	A trophy hunter has allegedly shot and killed a rare large-tusked elephant in Zimbabwe, just four years after they killed the largest ELEPHANT to be hunted in Africa in 30 years.	Exploitation	32404	Victim	-0.875
24403	12724	pangolin	India	Pangolin scales worth Rs 40 lakh seized in Thane, 3 heldTopicsEnvironmentPress Trust of India |ALSO READPangolin scales seized; three heldIndian pangolin rescued from house in Odisha's CuttackPangolin scales seized, three persons arrestedSingapore in second major pangolin seizure in a weekSindh: Pangolins on verge of extinction owing to surging Chinese demandPangolin scales worth over Rs 40 lakh in the illicit wildlife market were seized from three persons on Saturday in Thane's Mumbra area, police said PANGOLIN scales worth Rs 40 lakh seized in Thane, 3 heldTopicsEnvironmentPress Trust of India |ALSO READPangolin scales seized; three heldIndian pangolin rescued from house in Odisha's CuttackPangolin scales seized, three persons arrestedSingapore in second major pangolin seizure in a weekSindh: Pangolins on verge of extinction owing to surging Chinese demandPangolin scales worth over Rs 40 lakh in the illicit wildlife market were seized from three persons on Saturday in Thane's Mumbra area, police said.	Exploitation	32403	Vulnerable	0.95
24401	4894	shark	United States	Time to get out of the water.Check out these shark sightings in Massachusetts: INTERACTIVE MAP: Here's where great white SHARKS roam off Cape CodLoading…	HWI	32401	Neutral	0.625
24400	2663	wolf	United States	“Sheep conflicts are low because wolves are largely being removed from areas where sheep exist. Cattle conflicts have decreased as the population decreased.” WOLF packs in the Jackson Hole area were typically dynamic over the last year: New packs emerged, some shifted territories and others were killed or dissipated.	Threats	32400	Neutral	-0.848
24399	9727	vulture	India	According to the January 2019 January crocodile census report, the water bodies of Bhitarakanika are the home of 1,742 salt water crocodiles.Female crocodiles guard the eggs from predators like jackals, wild dogs, fishing cats, VULTURES  water monitors, wild boars and other animals.	Wildlife info	32399	Neutral	-0.136
24394	15691	vulture	Israel	Suspect arrested over poisoning of Golan Heights vulturesMan in his 30s from Galilee village said to have sprayed toxin on cow carcass to keep predators away, leading to deaths of half of local vulture populationA man in northern Israel was arrested Sunday on suspicion of poisoning eight griffon VULTURES in the Golan Heights two days earlier, police said.	Pollution	32394	Vulnerable	-0.974
24393	9829	tiger	India	The number of camera traps used for the data collection this time is around 15,000, up from around 9000 cameras used in the first version of the new census in 2006.Android phone applications of M-STrIPES (Monitoring System for Tigers-Intensive Protection and Ecological Status)- a software introduced in 2010 by the National TIGER Conservation Authority (NTCA) has been used extensively.	Conservation	32393	Vulnerable	0.153
24392	8507	vulture	United States	A full grown Christmas tree can take ten years to mature.Inside EditionHow Pesticide Misuse Is Killing Africa's WildlifeHow brow lamination can give you fierce eyebrowsNegative effects of ‘helicopter parenting’ on childrenWhy you might be paying more for a Christmas tree this yearCamila Cabello stole from Kensington Palace and now they know6 things mentally strong parents do to raise mentally strong childrenThe Holidays and your dog, according to vetsBlack Friday shopping secrets—revealedA daily routine that makes life less stressfulSearches for this item skyrocket thanks to the Meghan Markle effectKate's engagement ring could have been Meghan'sCat completely destroys toilet rollMarilyn Monroe's used this item to get her iconic glowing skinFamily asked to take down Christmas decorations because it’s too soonEasy ways to slash your electric bill this winterPrince Charles is getting into fashionBecause of quick and collaborative response teams like his and Nasoita’s, some of the damage can be mitigated, but the conservation groups working to protect vultures remain deeply concerned about how to deter poisoning in the first place.Vultures targeted VULTURE poisoning in Africa can be separated into two categories.	Pollution	32392	Vulnerable	-0.944
24391	6759	shark	United States	It’s especially true in Plymouth where great white sharks feed and prowl from June through October.The kicker is, SHARKS should be afraid of humans.	Wildlife info	32391	Neutral	0.802
24388	8891	tiger	India	Many activists pointed out that taking away revenue generated from the reserves is illegal as well as hampers conservation efforts.AG Ansari, Ramnagar based conservationist commenting the issue said, The guidelines were issued by the NTCA to avoid alienation of the local population as many restrictions are imposed as the TIGER reserve comes into existence.	PAs	32388	Controversial	-0.727
24384	4125	saola	United Kingdom	When it was discovered in the early 1990s, it was the 'first large mammal new to science since the 1940s'. The SAOLA (pronounced ‘sow-la’), is exclusively found in the Annamite Mountains, which sit on the border of Vietnam and Laos, and is a cousin of cattle but resemble antelopes.	Wildlife info	32384	Neutral	0
24379	4130	saola	United Kingdom	The threats The most prominent threats posed to the existence of these rare mammals are hunting and habitat loss. Saola can be caught in snares intended for subsistence use and crop protection against other forest-dwelling animals, but the SAOLA Working Group claims that the main threat to the saola is commercial poaching, where the creatures are targeted for 'bushmeat or.. medicine'.	Threats	32379	Vulnerable	-0.812
24378	4145	saola	United Kingdom	Vu Quang Nature Reserve’s management, where the saola was first discovered, has also improved over the last few years. A Population Viability Analysis conducted by the SAOLA Working Group in November 2015 indicate that 'even if all hunting threats could be achieved', we will be saying goodbye to the saola in the next 10 to 15 years.	Threats	32378	Vulnerable	0.077
24376	15326	shark	United States	Shark attacks - mostly by bulls and tigers - increased 23-fold on the island between 2005 and 2016, researchers have said, pointing to a boom in development and the volcanic origins as two contributing factors.Hawaii is not so different from Reunion, Gavin Naylor, the program director for the Florida Program for SHARK Research, told The Washington Post on Friday.	HWI	32376	Dangerous	-0.202
24374	14681	pangolin	United States	Across the world, there are eight species ranging from vulnerable to critically endangered so it’s especially critical to raise awareness of the under-appreciated animals, the couple said. PANGOLINS only have one pup per year, and they can’t keep up with the demand from the Asian markets, which is growing.	Threats	32374	Vulnerable	-0.551
24373	10403	vulture	United States	Besides the great assortment of theme parks and venues, the state does offer some wildlife “spotting” opportunities. A drive into/through a theme park via car, bus or “monorail” will afford you a chance to see snowy or cattle egrets feeding in the fields or parks, or black and turkey VULTURES soaring overhead.	HWI	32373	Exciting	0.688
24370	9129	tiger	Indonesia	Yoan said that the most important thing was for the management to prioritize the protection and preservation of the wild animals. We can't allow the Sumatran TIGER to exist only in legend, she said.	Threats	32370	Vulnerable	0.11
24369	8187	wolf	United States	You don't typically see such muscle differences in species that are that closely related, said Anne Burrows of Duquesne University in Pittsburgh, an author of the study released Monday by the Proceedings of the National Academy of Sciences.Dogs differ from WOLVES in many ways, from having shorter snouts, smaller sizes and more expressive faces.	Wildlife info	32369	Interesting	0
24365	5766	deer	United States	“Our evidence is not based on personal experience alone, but also on the comparison of the Game Commission’s population estimates to other estimates in surrounding areas. … Using their numbers, the Game Commission desires a large reduction in the number of DEER (about 2,000) to help slow the spread of chronic wasting disease.”Ward’s letter suggests the commission spend money in its reserve to gather more information on the deer population while the sharpshooters have been put on hold.	Exploitation	32365	Dangerous	-0.013
24363	661	saola	United States	“It may be the largest animal in the world that’s never been seen in the wild by a biologist,” said Bill Robichaud, a scientist who works to save animals from extinction with an organization known as Global Wildlife Conservation, or GWC for short.“This is how the saola got the nickname  ASIAN UNICORN ’ because it’s an animal you can’t see and can’t find,” he said.	Wildlife info	32363	Exciting	0.494
24360	14784	deer	United States	The DNR implemented a surveillance and response plan it had developed in 2002 (and updated in 2012) in anticipation of the disease being detected.The response team conducted a survey of deer abundance in the area where the CWD-positive DEER was found, identified the physical range of a core CWD area and CWD management zone, and collaborated with Michigan State University to design a study to track the movements and survival rates of deer in south-central Michigan.	Health	32360	Vulnerable	0.103
24357	8880	tiger	United States	Asim's arrival at the zoo last week had been trumpeted in a press release showing him on the prowl and describing him as a strapping Sumatran tiger.The organization Tigers in Crisis says there are only estimated to be about 500 to 600 Sumatran TIGERS in the wild.	Zoo	32357	Exciting	-0.625
24355	17446	deer	United States	Unlike a virus or bacteria, a prion is not easy to detect and it can take up to two years before enough prions build up in the animal’s brain to cause death.“(The deer) don’t turn white or black or gray when they get sick; they look like any other DEER ” Cornicelli said.	Health	32355	Victim	-0.495
24354	16876	pangolin	South Africa	Seizures of pangolins and their scales and skins from Africa, destined for Asia, are increasing with over 53 tons seized in 2013 alone. These estimates likely represent a fraction of all pangolins traded, and an even smaller portion of the number of PANGOLINS hunted.	Exploitation	32354	Vulnerable	-0.178
24349	4514	shark	United States	The incident took place at 1 Beaufort Street a little after 2 p.m., according to Brunswick County dispatch records.A 19-year-old male was taken to a local hospital by Brunswick County EMS after being bitten by a marine animal, although it remains uncertain if it was from a SHARK	HWI	32349	Dangerous	-0.296
24343	14474	shark	United States	With only one type of cone photoreceptor (compared to three for humans) sharks are colorblind. So it’s not the red color of your blood in the water that is attracting SHARKS  but watch out for their “sixth sense.”3.	Wildlife info	32343	Interesting	0.262
